0
Acantholimon boubaschatense
Achillea cancrinii
Aconitum karakolicum var. albiflorum
Aconitum paskoi
Agropyron mutabile var. scabrum
Agropyron repens var. convolutum
Agropyron wiluica
Agrostis alba var. brevipalea
Agrostis vulgaris var. minor
Agrostis vulgaris var. teberdensis
Alchemilla psedocalycina
Alchemilla trunciloba var. pilosula
Alectorolophus major subsp. aestivalis
Alectorolophus major subsp. vernalis
Alhagi maurorum var. karduchorum
Allium cretaceum
Allium kirilovii
Allium montanostepposum
Allium schistosum
Allium scorodoprasum var. brachyspathum
Allium tauricolum
Allium trachyoscordum
Alsine tenuifolia var. eglandulosa
Alsine verna var. multiglandulosa
Alyssum teheranicum
Ammopiptanthus kamelinii
Anabasis depressa
Anabasis phyllophora
Anchusa picta
Androsace lactiflora var. orientalis
Anemone baicalensis var. litoralis
Anemone erianthoides
Anemone tschiernjaewii
Antennaria friseana subsp. pseudoisolepis
Antennaria komarovii
Anthemis absinthifolia
Anthemis reuteriana
Anthemis smyrnaea
Anthyllis dillenii var. neglecta
Apsinthium sieversianum
Aquilegia einseleana var. pseudothalictrifolia
Aquilegia vulgaris var. karelinii
Arabis anachoretica
Arabis boissieri
Archangiopteris hokonensis
Arctopoa petrovskyi
Ardisia disticha
Arenaria billardieri
Arenaria rubile
Arenaria serpyllifolia var. pusilla
Arenaria violacea
Artemisia dracunculus var. pratorum
Artemisia glauca var. glabra
Artemisia glauca var. incana
Artemisia korotkyi
Artemisia maritima var. hablitziana
Artemisia maritima var. kitaibeliana
Artemisia maritima var. stechmanniana
Artemisia maritima var. szowitziana
Artemisia maritima var. wilhelmsiana
Artemisia mongolorum subsp. gobica
Artemisia propinqua
Asparagus oligocladus
Asperula nitida var. puberula
Aspidistra obtusata
Aspidistra paucitepala
Aspidistra phanluongii
Aspidistra xuansonensis
Aspidistra xuansonensis var. violiflora
Asplenium viride var. minor
Aster sancziri
Aster tataricus subsp. decompositus
Aster tripolium var. albosetus
Aster tripolium var. pygmaeus
Aster tripolium var. transiens
Astragalus eremothamnus
Astragalus hausknechtii
Astragalus neo-lipskyanus
Astragalus nicolai var. carinipilosus
Astragalus sewerzowii var. orbicularis
Atriplex altaica
Atriplex tichomirovii
Aulacospermum latipennum
Avena riabouschinskii
Banksia spinosa
Barbamine procumbens
Berberis turcomanica
Betonica regia
Betonica velebitica
Blysmus compressus subsp. subulifolia
Brachylepis salsa var. glauca
Brassica leucantha
Bromus sibiricus var. bargusinensis
Buchanania florida var. cumingii
Bupleurum andronakii
Calligonum aphyllum var. costatum
Calligonum litvinovii
Campanula adamii
Campanula rubasensis
Cardamine macrophylla subsp. acutidentata
Carduus bambergeri
Carex caryophyllea var. pskowiensis
Carex curvata var. transiens
Carex polyphylla
Carex riabouschinskii
Carpinus edentula
Carthamus oxyacantha
Centaurea matthiolofolia
